,date,state,totalTestResults,totalTestResultsIncrease,positive,positiveIncrease,death,deathIncrease
0,2021-03-07,AK,1731628,0,56886,0,305,0
28,2021-03-07,MS,1756955,260,297581,260,6808,3
27,2021-03-07,MP,17574,1,145,1,2,0
3,2021-03-07,AS,2140,0,0,0,0,0
4,2021-03-07,AZ,7908105,45110,826454,1335,16328,5
5,2021-03-07,CA,49646014,133186,3501394,3816,54124,258
6,2021-03-07,CO,6415123,38163,436602,840,5989,3
7,2021-03-07,CT,6520366,0,285330,0,7704,0
8,2021-03-07,DC,1261363,5726,41419,146,1030,0
9,2021-03-07,DE,1431942,5867,88354,215,1473,9
10,2021-03-07,FL,22339182,64599,1909209,4024,32266,66
11,2021-03-07,GA,7359069,18827,1023487,1709,17906,1
12,2021-03-07,GU,120636,0,7749,0,133,0
2,2021-03-07,AR,2736442,3380,324818,165,5319,22
15,2021-03-07,ID,645838,396,172931,104,1879,3
21,2021-03-07,MA,16825551,96578,591356,1425,16417,43
25,2021-03-07,MN,7111428,25369,490011,895,6550,4
24,2021-03-07,MI,10621967,0,656072,0,16658,0
23,2021-03-07,ME,1660180,7490,45794,159,706,2
22,2021-03-07,MD,8097590,33128,387319,709,7955,14
26,2021-03-07,MO,4565866,10659,480643,291,8161,0
20,2021-03-07,LA,5695464,21318,433785,740,9748,32
18,2021-03-07,KS,1270547,0,295861,0,4812,0
17,2021-03-07,IN,8242367,29427,667262,746,12737,11
16,2021-03-07,IL,18640190,68094,1198335,1068,23014,12
19,2021-03-07,KY,3975672,0,410709,525,4819,13
29,2021-03-07,MT,1104488,3132,100914,72,1381,0
14,2021-03-07,IA,1326802,1556,282384,257,5558,6
13,2021-03-07,HI,1146796,5117,28699,53,445,1
42,2021-03-07,PR,407299,0,101327,0,2059,0
44,2021-03-07,SC,5183044,27264,525865,1408,8754,35
30,2021-03-07,NC,9688838,0,872176,0,11502,0
32,2021-03-07,NE,2421684,1,203026,373,2113,0
33,2021-03-07,NH,1497185,15697,76861,166,1184,3
34,2021-03-07,NJ,10999550,2519,812609,2519,23574,17
35,2021-03-07,NM,2783542,11702,186922,180,3808,12
36,2021-03-07,NV,2770192,6201,296190,730,5037,1
37,2021-03-07,NY,39695100,227768,1681169,6789,39029,59
38,2021-03-07,OH,10257157,29289,978471,735,17656,0
39,2021-03-07,OK,3575297,461,428997,461,4534,0
40,2021-03-07,OR,3850973,0,157079,195,2296,3
41,2021-03-07,PA,10681716,52432,948643,1658,24349,32
43,2021-03-07,RI,3087981,0,128121,0,2541,0
31,2021-03-07,ND,1425146,679,100391,34,1478,0
45,2021-03-07,SD,701924,1275,113589,211,1900,2
51,2021-03-07,VT,1124215,8748,16083,119,208,0
55,2021-03-07,WY,649293,0,54764,0,682,0
54,2021-03-07,WV,2236551,6449,133445,155,2325,2
53,2021-03-07,WI,7080595,19193,621654,377,7106,4
52,2021-03-07,WA,5393756,24040,344532,664,5041,0
1,2021-03-07,AL,2323788,2347,499819,408,10148,-1
50,2021-03-07,VI,48881,0,2714,0,25,0
48,2021-03-07,UT,2910121,6828,374850,412,1976,1
47,2021-03-07,TX,19907384,76040,2686818,2953,44451,84
46,2021-03-07,TN,6872745,0,782206,0,11543,0
49,2021-03-07,VA,6038209,19925,585700,1163,9596,77
60,2021-03-06,AZ,7862995,35425,825119,1735,16323,54
65,2021-03-06,DE,1426075,8757,88139,265,1464,11
64,2021-03-06,DC,1255637,8000,41273,151,1030,3
63,2021-03-06,CT,6520366,0,285330,0,7704,0
62,2021-03-06,CO,6376960,33600,435762,1108,5986,0
61,2021-03-06,CA,49512828,218325,3497578,4452,53866,418
58,2021-03-06,AR,2733062,4959,324653,327,5297,14
59,2021-03-06,AS,2140,0,0,0,0,0
57,2021-03-06,AL,2321441,5314,499411,524,10149,27
82,2021-03-06,MO,4555207,14140,480352,386,8161,3
68,2021-03-06,GU,120636,1,7749,1,133,0
67,2021-03-06,GA,7340242,24765,1021778,2269,17905,90
66,2021-03-06,FL,22274583,87820,1905185,4587,32200,107
78,2021-03-06,MD,8064462,40384,386610,932,7941,11
56,2021-03-06,AK,1731628,0,56886,0,305,0
81,2021-03-06,MN,7086059,28026,489116,946,6546,12
75,2021-03-06,KY,3975672,5773,410184,839,4806,52
80,2021-03-06,MI,10621967,37232,656072,1692,16658,57
79,2021-03-06,ME,1652690,8103,45635,183,704,0
69,2021-03-06,HI,1141679,5284,28646,85,444,1
76,2021-03-06,LA,5674146,0,433045,0,9716,0
77,2021-03-06,MA,16728973,100359,589931,1722,16374,52
74,2021-03-06,KS,1270547,0,295861,0,4812,0
73,2021-03-06,IN,8212940,41718,666516,1231,12726,29
72,2021-03-06,IL,18572096,79248,1197267,2565,23002,56
71,2021-03-06,ID,645442,646,172827,240,1876,0
70,2021-03-06,IA,1325246,1877,282127,362,5552,3
83,2021-03-06,MP,17573,0,144,0,2,0
104,2021-03-06,UT,2903293,8211,374438,570,1975,5
85,2021-03-06,MT,1101356,4443,100842,186,1381,2
97,2021-03-06,PA,10629284,0,946985,2789,24317,55
111,2021-03-06,WY,649293,0,54764,0,682,0
96,2021-03-06,OR,3850973,52906,156884,211,2293,9
95,2021-03-06,OK,3574836,12218,428536,978,4534,0
94,2021-03-06,OH,10227868,40190,977736,1506,17656,0
93,2021-03-06,NY,39467332,273132,1674380,7647,38970,79
92,2021-03-06,NV,2763991,9659,295460,0,5036,16
89,2021-03-06,NH,1481488,0,76695,273,1181,3
90,2021-03-06,NJ,10997031,3720,810090,3720,23557,36
88,2021-03-06,NE,2421683,10138,202653,343,2113,1
87,2021-03-06,ND,1424467,1930,100357,79,1478,0
86,2021-03-06,NC,9688838,38654,872176,2027,11502,56
98,2021-03-06,PR,407299,261,101327,261,2059,3
91,2021-03-06,NM,2771840,13846,186742,282,3796,9
110,2021-03-06,WV,2230102,11614,133290,326,2323,5
84,2021-03-06,MS,1756695,576,297321,576,6805,22
109,2021-03-06,WI,7061402,24321,621277,614,7102,8
108,2021-03-06,WA,5369716,25314,343868,778,5041,9
107,2021-03-06,VT,1115467,8171,15964,145,208,1
105,2021-03-06,VA,6018284,21456,584537,1477,9519,91
106,2021-03-06,VI,48881,0,2714,0,25,0
103,2021-03-06,TX,19831344,11292,2683865,5570,44367,233
102,2021-03-06,TN,6872745,16164,782206,1312,11543,9
101,2021-03-06,SD,700649,2193,113378,149,1898,2
100,2021-03-06,SC,5155780,28973,524457,1199,8719,20
99,2021-03-06,RI,3087981,0,128121,0,2541,0
118,2021-03-05,CO,6343360,33127,434654,1633,5986,12
122,2021-03-05,FL,22186763,106925,1900598,5876,32093,138
121,2021-03-05,DE,1417318,3678,87874,231,1453,9
120,2021-03-05,DC,1247637,5821,41122,108,1027,3
119,2021-03-05,CT,6520366,41868,285330,830,7704,11
139,2021-03-05,MP,17573,0,144,0,2,0
117,2021-03-05,CA,49294503,146818,3493126,4659,53448,400
116,2021-03-05,AZ,7827570,51727,823384,2276,16269,84
115,2021-03-05,AS,2140,0,0,0,0,0
114,2021-03-05,AR,2728103,8874,324326,570,5283,10
138,2021-03-05,MO,4541067,16593,479966,430,8158,8
113,2021-03-05,AL,2316127,4920,498887,811,10122,28
123,2021-03-05,GA,7315477,35861,1019509,2081,17815,65
133,2021-03-05,MA,16628614,106263,588209,1899,16322,26
126,2021-03-05,IA,1323369,1923,281765,374,5549,13
132,2021-03-05,LA,5674146,19161,433045,518,9716,30
112,2021-03-05,AK,1731628,7144,56886,141,305,2
136,2021-03-05,MI,10584735,46112,654380,1791,16601,12
135,2021-03-05,ME,1644587,11279,45452,225,704,-1
134,2021-03-05,MD,8024078,41728,385678,913,7930,8
137,2021-03-05,MN,7058033,34207,488170,796,6534,13
131,2021-03-05,KY,3969899,15260,409345,905,4754,22
129,2021-03-05,IN,8171222,37626,665285,839,12697,34
128,2021-03-05,IL,18492848,103336,1194702,1442,22946,44
127,2021-03-05,ID,644796,1438,172587,299,1876,0
130,2021-03-05,KS,1270547,5787,295861,752,4812,-4
125,2021-03-05,HI,1136395,5302,28561,95,443,2
124,2021-03-05,GU,120635,539,7748,1,133,2
153,2021-03-05,PA,10629284,59517,944196,2757,24262,43
161,2021-03-05,VA,5996828,24556,583060,1652,9428,71
141,2021-03-05,MT,1096913,5391,100656,125,1379,4
150,2021-03-05,OH,10187678,43131,976230,1750,17656,467
149,2021-03-05,NY,39194200,296935,1666733,8956,38891,95
148,2021-03-05,NV,2754332,8024,295460,391,5020,15
140,2021-03-05,MS,1756119,591,296745,591,6783,19
146,2021-03-05,NJ,10993311,94291,806370,3701,23521,30
145,2021-03-05,NH,1481488,7047,76422,244,1178,0
144,2021-03-05,NE,2411545,7859,202310,337,2112,20
143,2021-03-05,ND,1422537,2917,100278,94,1478,0
142,2021-03-05,NC,9650184,44487,870149,2093,11446,47
154,2021-03-05,PR,407038,199,101066,199,2056,3
152,2021-03-05,OR,3798067,10629,156673,386,2284,32
