,date,states,totalTestResults,totalTestResultsIncrease,positive,positiveIncrease,negative,negativeIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,onVentilatorCurrently,onVentilatorCumulative,death,deathIncrease
0,2021-03-07,56,363789451,1156241,28755524,41265,74579770,130414,40212,878613,8137,2801,4281,515142,839
1,2021-03-06,56,362633210,1409138,28714259,59620,74449356,142201,41401,877887,8409,2811,4280,514303,1674
2,2021-03-05,56,361224072,1744417,28654639,68787,74307155,271917,42541,877384,8634,2889,4275,512629,2221
3,2021-03-04,56,359479655,1590984,28585852,65487,74035238,177957,44172,874603,8970,2973,4267,510408,1743
4,2021-03-03,56,357888671,1406795,28520365,66836,73857281,267001,45462,873073,9359,3094,4260,508665,2449
5,2021-03-02,56,356481876,1343519,28453529,54248,73590280,255779,46388,870901,9465,3169,4257,506216,1728
6,2021-03-01,56,355138357,1154440,28399281,48092,73334501,118077,46738,869030,9595,3171,4252,504488,1241
7,2021-02-28,56,353983917,1408422,28351189,54349,73216424,203599,47352,868006,9802,3245,4252,503247,1051
8,2021-02-27,56,352575495,1655179,28296840,71245,73012825,205090,48871,867127,10114,3335,4252,502196,1847
9,2021-02-26,56,350920316,1803309,28225595,74857,72807735,276829,51112,865699,10466,3466,4247,500349,2141
10,2021-02-25,56,349117007,1826144,28150738,75565,72530906,272209,52669,863766,10846,3567,4233,498208,3138
11,2021-02-24,56,347290863,1450666,28075173,73258,72258697,245318,54118,861784,11026,3685,4227,495070,2447
12,2021-02-23,56,345840197,1193835,28001915,69105,72013379,225267,55058,859612,11272,3755,4214,492623,2241
13,2021-02-22,56,344646362,1201247,27932810,52530,71788112,123611,55403,857448,11536,3804,4200,490382,1235
14,2021-02-21,56,343445115,1232995,27880280,58702,71664501,156778,56159,856143,11862,3915,4197,489147,1287
15,2021-02-20,56,342212120,1290481,27821578,72354,71507723,141790,58222,855146,12120,3932,4197,487860,2160
16,2021-02-19,56,340921639,1878033,27749224,74676,71365933,224755,59882,853414,12491,4118,4187,485700,2477
17,2021-02-18,56,339043606,1345849,27674548,66824,71141178,218491,62300,850740,13045,4180,4178,483223,2616
18,2021-02-17,56,337697757,1298421,27607724,66839,70922687,233666,63405,848243,13103,4271,4154,480607,2348
19,2021-02-16,56,336399336,1053698,27540885,56312,70689021,101102,64533,845386,13616,4406,4149,478259,1353
